Microsoft (R) COFF/PE Dumper Version 14.51.36248.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file EOSSDK-Win64-Shipping.dll

File Type: DLL

  Section contains the following exports for EOSSDK-Win64-Shipping.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         677 number of functions
         677 number of names

    ordinal hint RVA      name

          1    0 005E0970 EOS_Achievements_AddNotifyAchievementsUnlocked
          2    1 005E06F0 EOS_Achievements_AddNotifyAchievementsUnlockedV2
          3    2 005E0800 EOS_Achievements_CopyAchievementDefinitionByAchievementId
          4    3 005E07A0 EOS_Achievements_CopyAchievementDefinitionByIndex
          5    4 005E0400 EOS_Achievements_CopyAchievementDefinitionV2ByAchievementId
          6    5 005E03A0 EOS_Achievements_CopyAchievementDefinitionV2ByIndex
          7    6 005E05D0 EOS_Achievements_CopyPlayerAchievementByAchievementId
          8    7 005E0570 EOS_Achievements_CopyPlayerAchievementByIndex
          9    8 005E0910 EOS_Achievements_CopyUnlockedAchievementByAchievementId
         10    9 005E08B0 EOS_Achievements_CopyUnlockedAchievementByIndex
         11    A 003A3FD0 EOS_Achievements_DefinitionV2_Release
         12    B 003A4140 EOS_Achievements_Definition_Release
         13    C 005E0350 EOS_Achievements_GetAchievementDefinitionCount
         14    D 005E0520 EOS_Achievements_GetPlayerAchievementCount
         15    E 005E0860 EOS_Achievements_GetUnlockedAchievementCount
         16    F 003A3EA0 EOS_Achievements_PlayerAchievement_Release
         17   10 005E02A0 EOS_Achievements_QueryDefinitions
         18   11 005E0460 EOS_Achievements_QueryPlayerAchievements
         19   12 005E0750 EOS_Achievements_RemoveNotifyAchievementsUnlocked
         20   13 005E0630 EOS_Achievements_UnlockAchievements
         21   14 003A42E0 EOS_Achievements_UnlockedAchievement_Release
         22   15 0061D730 EOS_ActiveSession_CopyInfo
         23   16 0061D7E0 EOS_ActiveSession_GetRegisteredPlayerByIndex
         24   17 0061D790 EOS_ActiveSession_GetRegisteredPlayerCount
         25   18 0087DD30 EOS_ActiveSession_Info_Release
         26   19 006A4720 EOS_ActiveSession_Release
         27   1A 005E0E60 EOS_AntiCheatClient_AddExternalIntegrityCatalog
         28   1B 005E0C90 EOS_AntiCheatClient_AddNotifyClientIntegrityViolated
         29   1C 005E0A80 EOS_AntiCheatClient_AddNotifyMessageToPeer
         30   1D 005E09D0 EOS_AntiCheatClient_AddNotifyMessageToServer
         31   1E 005E0B30 EOS_AntiCheatClient_AddNotifyPeerActionRequired
         32   1F 005E0BE0 EOS_AntiCheatClient_AddNotifyPeerAuthStatusChanged
         33   20 005E0D40 EOS_AntiCheatClient_BeginSession
         34   21 005E0DA0 EOS_AntiCheatClient_EndSession
         35   22 005E0F20 EOS_AntiCheatClient_GetProtectMessageOutputLength
         36   23 005E0E00 EOS_AntiCheatClient_PollStatus
         37   24 005E0F80 EOS_AntiCheatClient_ProtectMessage
         38   25 005E1100 EOS_AntiCheatClient_ReceiveMessageFromPeer
         39   26 005E0EC0 EOS_AntiCheatClient_ReceiveMessageFromServer
         40   27 005E1040 EOS_AntiCheatClient_RegisterPeer
         41   28 005E0CF0 EOS_AntiCheatClient_RemoveNotifyClientIntegrityViolated
         42   29 005E0AE0 EOS_AntiCheatClient_RemoveNotifyMessageToPeer
         43   2A 005E0A30 EOS_AntiCheatClient_RemoveNotifyMessageToServer
         44   2B 005E0B90 EOS_AntiCheatClient_RemoveNotifyPeerActionRequired
